Cod_Pai,Assunto_Descricao
10982,"""Lavagem"" ou Ocultação de Bens Direitos ou Valores Oriundos de Corrupção"
10983,"""Lavagem"" ou Ocultação de Bens Direitos ou Valores Oriundos de Corrupção"
10984,"""Lavagem"" ou Ocultação de Bens Direitos ou Valores Oriundos de Corrupção"
6062,1/3 de férias
5575,Abandono
3561,Abandono de função
3391,Abandono de incapaz
3475,Abandono Intelectual
3474,Abandono Material
7769,Abatimento proporcional do preço
10614,Abolitio Criminis
6153,Abono da Lei 8.178/91
10662,Abono de Permanência
6113,Abono de Permanência em Serviço (Art. 87)
10294,Abono Pecuniário (Art. 78 Lei 8.112/1990)
10915,Aborto
10917,Aborto provocado pela gestante ou com o seu consentimento
10918,Aborto provocado por terceiro
10919,Aborto qualificado
5842,Abuso de Incapazes
4263,Ação Penal
10456,Acessão
7748,Acidente Aéreo
11954,Acidente de Trabalho - Ressarcimento ao Erário
9996,Acidente de Trânsito
10435,Acidente de Trânsito
10441,Acidente de Trânsito
10504,Acidente de Trânsito
5577,Acidentes da Navegação
10273,Acompanhamento de Cônjuge ou Companheiro
10149,Acordo de Exclusividade
10225,Acumulação de Cargos
10638,Acumulação de Proventos
10293,Adicional de Fronteira
10303,Adicional de Horas Extras
10291,Adicional de Insalubridade
10292,Adicional de Periculosidade
10309,Adicional de Produtividade
10308,Adicional de Serviço Noturno
6075,Adicional de Tarifa Aeroportuária
10302,Adicional por Tempo de Serviço
10331,Adidos Agregados e Adjuntos
7690,Adimplemento e Extinção
10393,Adjudicação
6198,Admissão / Entrada / Permanência / Saída
10411,Admissão / Permanência / Despedida
3546,Adulteração de Sinal Identificador de Veículo Automotor
10992,Adulteração de Sinal Identificador de Veículo Automotor por Funcionário Público
10281,Advertência
10364,Advertência / Repreensão
3559,Advocacia administrativa
10189,Afastamento
10196,Afastamento
10202,Afastamento do Cargo
10215,Afastamento do Cargo
6076,AFRMM/Adicional ao Frete para Renovação da Marinha Mercante
5622,Agenciamento
11871,Agências/órgãos de regulação
9581,Agêncie e Distribuição
10186,Agentes Políticos
10351,Agregação
3622,Agrotóxicos
10116,Agrotóxicos
10095,Águas Públicas
6074,AITP/Adicional de Indenização do Trabalhador Portuário Avulso
3455,Aliciamento de trabalhadores de um local para outro do território nacional
3454,Aliciamento para fins de emigração
10098,Alienação
9582,Alienação Fiduciária
5836,Alienação ou Oneração Fraudulenta de Coisa Própria
11848,Alimentação
6012,Alíquota
6014,Alíquota Progressiva
6013,Alíquota Zero
10272,Alistamento / Serviço Eleitoral
3423,Alteração de limites
3429,Alteração de local especialmente protegido
6134,Alteração do coeficiente de cálculo de pensão
6135,Alteração do coeficiente de cálculo do benefício
11944,Alteração do teto máximo para o valor do benefício previdenciário do RGPS (EC 20 e 41)
5196,Aluguel de Embarcações (Fretamento E Carta Partida)
10270,Amamentação
10396,Ambiental
3402,Ameaça
5996,Anistia
10625,Anistia
10231,Anistia Administrativa
9988,Anistia Política
10330,Anistia Política
8961,Antecipação de Tutela / Tutela Específica
10172,Anuidades OAB
4951,Anulação
10382,Anulação
10423,Anulação
6004,Anulação de Débito Fiscal
10379,Anulação e Correção de Provas / Questões
10621,Aplicação da Pena
6147,Aplicação de coeficiente de cálculo diverso do fixado na Lei n.º 8.213/91
10183,Apólices da Dívida Pública
5870,Apologia de Crime ou Criminoso
10191,Aposentadoria
10198,Aposentadoria
10254,Aposentadoria
12380,Aposentadoria Compulsória
6100,Aposentadoria Especial (Art. 57/8)
6096,Aposentadoria por Idade (Art. 48/51)
6095,Aposentadoria por Invalidez
10567,Aposentadoria por Invalidez Acidentária
6118,Aposentadoria por Tempo de Contribuição (Art. 55/6)
6099,Aposentadoria por Tempo de Serviço (Art. 52/4)
6052,Aposentadoria/Retorno aoTrabalho
10025,Apreensão
5573,Apropriação de Coisa Achada
3437,Apropriação de Coisa Havida por Erro Caso Fortuito ou Força da Natureza
5572,Apropriação de Tesouro
3436,Apropriação indébita
3430,Apropriação indébita Previdenciária
6193,Aquisição
10447,Aquisição
10455,Aquisição
5975,Aquisição de combustíveis
5976,Aquisição de passagens e moedas - Viagem Exterior
5974,Aquisição de veículos automotores
11828,Área de Preservação Permanente
10549,Arquivamento Administrativo - Crédito de Pequeno Valor
7701,Arras ou Sinal
3588,Arrebatamento de preso
3502,Arremesso de projétil
9584,Arrendamento Mercantil
9583,Arrendamento Rural
5589,Arresto de Embarcação
6020,Arrolamento de Bens
11941,Art. 26 da Lei 8.870/1994
11942,Art. 29 § 5º da Lei 8.213/1991
11943,Art. 29 II da Lei 8.213/1991
6140,Art. 58 ADCT da CF/88
6151,Art. 144 da Lei 8.213/91 e/ou diferenças decorrentes
6199,Asilo
5851,Assédio Sexual
7626,Assinatura Básica Mensal
5591,Assistência / Salvamento
10244,Assistência à Saúde
8843,Assistência Judiciária Gratuita
10356,Assistência Médico-Hospitalar
10245,Assistência Pré-escolar
11847,Assistência Social
5897,Associação para a Produção e Tráfico e Condutas Afins
7689,Assunção de Dívida
5905,Assunção de Obrigação no Último Ano do Mandato ou Legislatura
3467,Atentado ao Pudor Mediante Fraude
3448,Atentado contra a liberdade de associação
3447,Atentado contra a liberdade de contrato de trabalho e boicotagem violenta
3446,Atentado contra a liberdade de trabalho
3503,Atentado contra a segurança de serviços de utilidade pública
3501,Atentado contra a segurança de transporte público
3466,Atentado Violento ao Pudor
6165,Atividade concomitante
10267,Atividade Política
3623,Atividades Nucleares
9520,Ato Atentatório à Dignidade da Justiça
10010,Ato Lesivo ao Patrimônio Artístico Estético Histórico ou Turístico
11899,Ato Normativo
9997,Atos Administrativos
10151,Atos de Concentração
12218,Atos de Terrorismo
11786,Atos executórios
8893,Atos Processuais
7694,Atos Unilaterais
6073,ATP/Adicional de Tarifa Portuária
4829,Atraso de vôo
10159,Atualização de Conta
10164,Atualização de Conta
5909,Aumento de Despesa com Pessoal no Último Ano do Mandato ou Legislatura
10867,Ausência de Fundamentação
10735,Ausência de Interesse Processual
12414,Ausência de Legitimidade para a Causa
10863,Ausência de Legitimidade para propositura de Ação Civil Pública
10737,Ausência de Pressupostos de Constituição e Desenvolvimento
10866,Ausência de Publicidade
3578,Auto-acusação falsa
6027,Autorização para Impressão de Documentos Fiscais - AIDF
6206,Auxílio Direto
6107,Auxílio-Acidente (Art. 86)
6063,Auxílio-Alimentação
10304,Auxílio-Alimentação
7757,Auxílio-Doença Acidentário
6101,Auxílio-Doença Previdenciário
10248,Auxílio-Funeral
10596,Auxílio-invalidez
10246,Auxílio-Natalidade
10247,Auxílio-Reclusão
6105,Auxílio-Reclusão (Art. 80)
10306,Auxílio-transporte
5592,Avaria
10277,Averbação / Contagem de Tempo Especial
10278,Averbação / Contagem Recíproca
6187,Averbação/Cômputo de tempo de serviço de empregado doméstico
6183,Averbação/Cômputo de tempo de serviço de segurado especial (regime de economia familiar)
6184,Averbação/Cômputo de tempo de serviço rural (empregado/empregador)
6188,Averbação/Cômputo de tempo de serviço urbano
6185,Averbação/Cômputo do tempo de serviço como aluno aprendiz
6186,Averbação/Cômputo do tempo de serviço militar
6182,Averbação/Cômputo/Conversão de tempo de serviço especial
7752,Bancários
6008,Base de Cálculo
7661,Bem de Família
6114,Benefício Assistencial (Art. 203V CF/88)
9519,Benefício de Ordem
6126,Benefício mínimo a partir da CF/88 (art. 201 § 2º CF/88)
6094,Benefícios em Espécie
9614,Benfeitorias
10089,Bens Públicos
3479,Bigamia
10096,Bloqueio de Valores de Contas Públicas
12469,Boate Kiss
12468,Brumadinho
10677,Busca e Apreensão
10914,Busca e Apreensão de Bens
9098,Cabimento
3624,Caça
6026,Cadastro de Inadimplentes - CADIN
12498,Cadeira de rodas / cadeira de banho / cama hospitalar
10559,"Cálculo de ICMS ""por dentro"""
6132,Cálculo do Benefício de acordo com a Sistemática anterior à Lei 9.876/99
